engine,schema_layer,scale_factor,aggregation_depth,index_mode,median_latency
duckdb,olap,1,multi_group_by,full_scan,0.360619
duckdb,olap,1,multi_group_by,indexed_point_lookup,0.006707
duckdb,olap,1,multi_group_by,range_scan,0.028956
duckdb,olap,1,nested_subquery,full_scan,0.087339
duckdb,olap,1,nested_subquery,indexed_point_lookup,0.051671
duckdb,olap,1,nested_subquery,range_scan,0.055583
duckdb,olap,1,single_group_by,full_scan,0.014235
duckdb,olap,1,single_group_by,indexed_point_lookup,0.001994
duckdb,olap,1,single_group_by,range_scan,0.011156
duckdb,olap,5,multi_group_by,full_scan,2.654063
duckdb,olap,5,multi_group_by,indexed_point_lookup,0.00899
duckdb,olap,5,multi_group_by,range_scan,0.278442
duckdb,olap,5,nested_subquery,full_scan,0.842429
duckdb,olap,5,nested_subquery,indexed_point_lookup,0.415335
duckdb,olap,5,nested_subquery,range_scan,0.49275
duckdb,olap,5,single_group_by,full_scan,0.081688
duckdb,olap,5,single_group_by,indexed_point_lookup,0.002213
duckdb,olap,5,single_group_by,range_scan,0.032214
duckdb,olap,10,multi_group_by,full_scan,40.076019
duckdb,olap,10,multi_group_by,indexed_point_lookup,0.021608
duckdb,olap,10,multi_group_by,range_scan,0.424661
duckdb,olap,10,nested_subquery,full_scan,0.705257
duckdb,olap,10,nested_subquery,indexed_point_lookup,0.286098
duckdb,olap,10,nested_subquery,range_scan,0.382122
duckdb,olap,10,single_group_by,full_scan,0.106171
duckdb,olap,10,single_group_by,indexed_point_lookup,0.002146
duckdb,olap,10,single_group_by,range_scan,0.058723
duckdb,oltp,1,multi_group_by,full_scan,0.321016
duckdb,oltp,1,multi_group_by,indexed_point_lookup,0.0037
duckdb,oltp,1,multi_group_by,range_scan,0.017184
duckdb,oltp,1,nested_subquery,full_scan,0.258576
duckdb,oltp,1,nested_subquery,indexed_point_lookup,0.152199
duckdb,oltp,1,nested_subquery,range_scan,0.246608
duckdb,oltp,1,single_group_by,full_scan,0.027652
duckdb,oltp,1,single_group_by,indexed_point_lookup,0.001764
duckdb,oltp,1,single_group_by,range_scan,0.014592
duckdb,oltp,5,multi_group_by,full_scan,2.289071
duckdb,oltp,5,multi_group_by,indexed_point_lookup,0.004886
duckdb,oltp,5,multi_group_by,range_scan,0.165564
duckdb,oltp,5,nested_subquery,full_scan,1.882485
duckdb,oltp,5,nested_subquery,indexed_point_lookup,0.915378
duckdb,oltp,5,nested_subquery,range_scan,1.151012
duckdb,oltp,5,single_group_by,full_scan,0.199649
duckdb,oltp,5,single_group_by,indexed_point_lookup,0.002544
duckdb,oltp,5,single_group_by,range_scan,0.060868
duckdb,oltp,10,multi_group_by,full_scan,21.505167
duckdb,oltp,10,multi_group_by,indexed_point_lookup,0.010588
duckdb,oltp,10,multi_group_by,range_scan,0.19925
duckdb,oltp,10,nested_subquery,full_scan,2.543661
duckdb,oltp,10,nested_subquery,indexed_point_lookup,0.707059
duckdb,oltp,10,nested_subquery,range_scan,1.161152
duckdb,oltp,10,single_group_by,full_scan,0.197506
duckdb,oltp,10,single_group_by,indexed_point_lookup,0.002314
duckdb,oltp,10,single_group_by,range_scan,0.067934
mysql,olap,1,multi_group_by,full_scan,67.698168
mysql,olap,1,multi_group_by,indexed_point_lookup,0.001933
mysql,olap,1,multi_group_by,range_scan,2.486076
mysql,olap,1,nested_subquery,full_scan,32.384039
mysql,olap,1,nested_subquery,indexed_point_lookup,16.288845
mysql,olap,1,nested_subquery,range_scan,17.425575
mysql,olap,1,single_group_by,full_scan,2.444
mysql,olap,1,single_group_by,indexed_point_lookup,0.000997
mysql,olap,1,single_group_by,range_scan,1.147598
mysql,olap,5,multi_group_by,full_scan,5507.545942000001
mysql,olap,5,multi_group_by,indexed_point_lookup,0.016547
mysql,olap,5,multi_group_by,range_scan,382.66836550000005
mysql,olap,5,nested_subquery,full_scan,2738.103894
mysql,olap,5,nested_subquery,indexed_point_lookup,1338.4283295
mysql,olap,5,nested_subquery,range_scan,1666.036104
mysql,olap,5,single_group_by,full_scan,19.1063115
mysql,olap,5,single_group_by,indexed_point_lookup,0.00423
mysql,olap,5,single_group_by,range_scan,296.058022
mysql,oltp,1,multi_group_by,full_scan,59.859952
mysql,oltp,1,multi_group_by,indexed_point_lookup,0.00122
mysql,oltp,1,multi_group_by,range_scan,1.663841
mysql,oltp,1,nested_subquery,full_scan,29.166618
mysql,oltp,1,nested_subquery,indexed_point_lookup,13.79959
mysql,oltp,1,nested_subquery,range_scan,15.488279
mysql,oltp,1,single_group_by,full_scan,3.472349
mysql,oltp,1,single_group_by,indexed_point_lookup,0.001234
mysql,oltp,1,single_group_by,range_scan,1.277418
mysql,oltp,5,multi_group_by,full_scan,5934.767382
mysql,oltp,5,multi_group_by,indexed_point_lookup,0.0197955
mysql,oltp,5,multi_group_by,range_scan,302.638238
mysql,oltp,5,nested_subquery,full_scan,2997.1953430000003
mysql,oltp,5,nested_subquery,indexed_point_lookup,1515.2314099999999
mysql,oltp,5,nested_subquery,range_scan,2015.7967254999999
mysql,oltp,5,single_group_by,full_scan,21.28259
mysql,oltp,5,single_group_by,indexed_point_lookup,0.001134
mysql,oltp,5,single_group_by,range_scan,300.533167
